,Reacher-v11_seed_0,Reacher-v12_seed_0,Reacher-v21_seed_0,Reacher-v22_seed_0,Reacher-v31_seed_0,Reacher-v32_seed_0,Reacher-v41_seed_0,Reacher-v42_seed_0,Reacher-v51_seed_0,Reacher-v52_seed_0,Reacher-v60_seed_0,Reacher-v61_seed_0,Reacher-v62_seed_0,Reacher-v11_seed_1,Reacher-v12_seed_1,Reacher-v21_seed_1,Reacher-v22_seed_1,Reacher-v31_seed_1,Reacher-v32_seed_1,Reacher-v41_seed_1,Reacher-v42_seed_1,Reacher-v51_seed_1,Reacher-v52_seed_1,Reacher-v60_seed_1,Reacher-v61_seed_1,Reacher-v62_seed_1,Reacher-v11_seed_2,Reacher-v12_seed_2,Reacher-v21_seed_2,Reacher-v22_seed_2,Reacher-v31_seed_2,Reacher-v32_seed_2,Reacher-v41_seed_2,Reacher-v42_seed_2,Reacher-v51_seed_2,Reacher-v52_seed_2,Reacher-v60_seed_2,Reacher-v61_seed_2,Reacher-v62_seed_2
0,-403.89972,-379.05206,-403.669,-442.15244,-434.8192,-456.12186,-435.08844,-500.7063,-478.40857,-458.3879,-455.56104,-503.4458,-450.74582,-406.90558,-351.88947,-376.0835,-408.6314,-370.594,-371.1927,-409.01453,-452.4574,-450.83386,-463.53845,-514.23376,-452.65024,-428.16864,-468.06454,-504.36414,-494.91388,-483.8926,-548.4686,-448.71133,-487.14212,-489.18765,-538.78723,-514.8402,-510.83078,-644.52936,-535.4959
1,-421.07236,-380.39325,-441.10257,-403.6798,-444.6044,-477.6228,-464.5817,-509.98062,-509.79227,-467.30338,-477.17422,-480.07977,-485.65546,-324.27615,-344.55502,-435.2532,-386.86234,-384.30896,-408.22183,-404.22476,-448.80295,-428.15915,-415.9445,-454.03406,-466.30746,-531.0892,-485.43805,-390.29297,-373.2155,-448.98685,-480.05334,-490.00827,-496.48944,-477.0314,-529.563,-509.3604,-525.6672,-497.381,-511.0077
2,-385.5924,-319.845,-459.98264,-401.90082,-422.91818,-465.5413,-475.2882,-433.35785,-532.2639,-518.3506,-525.2357,-487.60855,-486.06793,-331.27853,-371.3499,-402.1423,-392.29443,-438.49457,-439.68527,-468.9743,-399.17126,-452.474,-482.06668,-419.44385,-444.0434,-502.94467,-482.181,-454.69006,-512.7993,-441.12393,-479.82837,-539.9538,-496.4885,-461.7357,-485.44174,-507.3606,-648.7031,-566.99066,-524.30023
3,-387.27432,-338.61163,-392.3449,-444.66238,-423.06528,-411.50803,-468.637,-494.12128,-467.04608,-498.0818,-520.5491,-569.12463,-522.4406,-384.09692,-322.16846,-371.36066,-424.86496,-412.64697,-418.97827,-412.77646,-428.72348,-488.2474,-449.11508,-419.00583,-451.99625,-432.58307,-518.9824,-408.3504,-487.19614,-406.8318,-540.95294,-477.40054,-508.7419,-556.2492,-540.8893,-531.362,-602.3392,-527.86633,-506.9308
4,-472.1605,-409.24924,-439.11914,-430.38916,-393.9371,-451.64758,-503.9506,-449.46085,-531.2818,-480.20532,-451.19687,-494.54623,-476.60596,-425.43875,-367.51764,-394.517,-361.3259,-417.97437,-423.02667,-383.21387,-385.09207,-427.27246,-464.6351,-455.40347,-416.2918,-460.49133,-459.3128,-438.56958,-473.65634,-455.07474,-511.38657,-474.44574,-479.19867,-509.67783,-545.7362,-507.13593,-580.15106,-579.6394,-574.9739
5,-365.8304,-337.8703,-400.31702,-416.84418,-434.82425,-434.71112,-473.738,-518.11414,-428.91718,-475.16257,-470.09448,-555.8142,-544.71356,-347.74994,-330.90732,-413.0507,-376.9823,-379.14444,-388.80527,-363.11984,-443.58282,-478.3861,-410.35843,-444.14697,-413.5004,-453.09796,-417.0581,-485.88333,-520.6227,-486.5386,-552.5868,-469.6409,-506.50003,-536.30975,-517.857,-538.6737,-542.56396,-487.75558,-519.91516
6,-407.6847,-325.7975,-411.5087,-439.8211,-463.57867,-454.43213,-424.75842,-447.52307,-481.06595,-508.77734,-505.82407,-478.73038,-523.18286,-429.94745,-291.7353,-373.29187,-383.49323,-384.8042,-419.35153,-457.5225,-414.03915,-474.13113,-441.35464,-468.1776,-418.21356,-439.07285,-515.32544,-435.59808,-416.0497,-438.90524,-451.02423,-555.6002,-546.13464,-499.25583,-528.07074,-523.48254,-613.01575,-594.81384,-550.1649
7,-323.3027,-379.2255,-451.24658,-432.42316,-385.9888,-452.5427,-412.07462,-439.22495,-470.1329,-452.4968,-541.2567,-478.14664,-483.40317,-389.47687,-364.28085,-399.6841,-360.0131,-403.12518,-423.391,-428.63138,-493.37064,-423.65247,-434.77008,-491.53265,-422.03714,-506.1999,-523.1476,-484.43005,-439.5175,-510.12418,-528.3757,-501.22375,-574.5887,-512.64056,-539.24713,-519.46344,-542.1495,-534.17944,-533.53937
8,-361.97852,-422.67593,-399.6917,-457.04874,-428.80856,-427.48077,-437.93158,-449.44473,-439.19647,-441.43744,-500.65375,-466.07245,-464.7104,-406.67526,-354.931,-380.48962,-407.92728,-419.36588,-400.67465,-448.5296,-410.7051,-457.58664,-446.25836,-516.8224,-474.3085,-470.2562,-522.4743,-484.53812,-510.4641,-453.63333,-470.42615,-486.11023,-508.99365,-515.03046,-539.02466,-536.6762,-518.993,-540.5674,-534.7474
9,-368.731,-344.68402,-424.4721,-446.06378,-467.58478,-507.38202,-428.567,-455.2829,-561.7106,-458.92398,-506.44705,-462.8445,-484.16135,-368.0361,-286.99036,-374.9203,-407.43335,-414.85443,-404.60007,-434.04578,-418.81485,-477.79065,-443.9331,-458.8176,-458.17365,-478.27664,-545.2262,-383.89584,-381.41675,-501.43692,-498.15634,-525.70703,-505.10745,-502.2947,-511.9875,-527.19946,-537.0353,-514.2678,-598.8073
