,Reacher-v10_seed_0,Reacher-v20_seed_0,Reacher-v30_seed_0,Reacher-v40_seed_0,Reacher-v50_seed_0,Reacher-v10_seed_1,Reacher-v20_seed_1,Reacher-v30_seed_1,Reacher-v40_seed_1,Reacher-v50_seed_1,Reacher-v10_seed_2,Reacher-v20_seed_2,Reacher-v30_seed_2,Reacher-v40_seed_2,Reacher-v50_seed_2
0,-388.74176,-440.66223,-457.44403,-481.30676,-461.03537,-387.22598,-406.312,-434.64523,-413.23465,-420.24417,-446.91025,-483.5497,-499.04996,-541.64233,-534.1433
1,-359.1685,-370.34885,-395.6146,-440.7337,-385.74588,-310.14627,-359.75177,-417.01053,-376.30188,-461.3526,-440.68976,-452.47623,-480.7638,-505.71704,-465.7335
2,-333.33325,-351.0435,-390.74365,-424.88702,-367.42596,-304.61865,-395.7927,-396.043,-410.12448,-403.98978,-414.43732,-403.9001,-436.61194,-526.5475,-508.86307
3,-348.95868,-319.49435,-398.202,-449.69452,-444.51538,-325.84802,-301.24692,-393.60214,-407.12543,-360.86002,-435.33804,-465.78528,-489.3962,-424.68863,-453.16248
4,-382.25363,-347.63123,-464.07446,-452.16345,-420.24045,-374.3099,-368.85406,-410.41577,-405.5693,-395.98114,-339.8929,-452.4187,-410.8886,-472.7804,-555.681
5,-277.10577,-358.64575,-432.694,-422.33734,-440.95865,-282.78842,-344.87015,-346.10785,-348.76678,-383.9312,-304.60095,-420.97617,-442.92145,-504.74167,-432.6383
6,-333.7935,-365.9468,-377.33716,-343.05298,-399.44867,-346.21387,-299.4925,-386.61624,-422.65482,-338.43488,-357.7498,-396.1383,-395.75668,-386.81238,-456.1777
7,-284.21472,-290.60144,-404.94565,-364.13797,-444.0338,-325.7289,-370.80905,-422.3699,-417.32886,-408.48035,-361.17435,-417.27618,-428.9817,-431.07022,-502.23068
8,-298.9335,-372.06662,-377.4464,-432.98407,-354.5229,-320.8797,-325.66602,-395.17062,-315.928,-407.39468,-312.1073,-362.1448,-373.36212,-471.20026,-431.5799
9,-256.46817,-289.16452,-383.46075,-416.9341,-327.41638,-300.3648,-285.04025,-355.14984,-421.6285,-341.64865,-337.8138,-332.715,-387.42004,-416.0671,-429.57367
10,-269.8554,-307.3172,-326.04758,-364.3699,-453.65356,-279.73395,-355.05908,-301.31287,-315.11963,-368.1827,-293.12424,-381.46722,-378.87244,-431.6157,-430.32153
11,-257.4932,-300.07095,-367.73257,-393.06677,-342.42908,-279.18503,-306.7198,-370.95663,-312.56174,-317.31693,-285.73123,-333.15207,-360.55234,-368.42996,-488.1739
12,-300.49197,-340.67834,-369.32748,-405.1959,-373.2188,-266.74857,-295.1029,-304.06232,-334.06274,-376.56387,-309.24747,-330.03305,-326.5157,-379.15802,-384.30817
13,-261.464,-290.31787,-311.7037,-373.94962,-365.22296,-282.15866,-269.07733,-380.69974,-382.74554,-345.01736,-267.96634,-303.55927,-337.50977,-365.12466,-377.10635
14,-289.87054,-297.36862,-369.0341,-337.2669,-364.4342,-285.8317,-296.68143,-285.1875,-310.14426,-338.15955,-312.99988,-343.25745,-382.92776,-344.76572,-342.627
15,-264.48752,-298.00543,-342.5319,-369.5532,-309.3994,-292.0484,-269.7585,-347.40778,-348.53607,-349.53018,-296.943,-322.24515,-401.06943,-379.7496,-373.70352
16,-241.83629,-273.1735,-322.25827,-336.23877,-380.01474,-268.25812,-268.43384,-316.7688,-334.55457,-294.75638,-249.35661,-301.65488,-378.61505,-434.34494,-410.42856
17,-238.2827,-326.2128,-379.9384,-368.08594,-314.3699,-273.41904,-311.66043,-287.91602,-359.83176,-307.96503,-251.06323,-291.1993,-297.9064,-320.56357,-385.53293
18,-265.54114,-306.03827,-343.93765,-378.35397,-328.6716,-268.50745,-248.65477,-325.19995,-295.02908,-330.1178,-265.08438,-285.6658,-368.64752,-317.31305,-308.8232
19,-244.54895,-292.35947,-293.93863,-308.9251,-381.40448,-244.1582,-266.806,-353.45966,-334.40833,-399.1284,-226.91545,-281.35968,-347.79388,-305.60223,-324.29956
20,-262.7589,-281.88892,-282.91913,-324.8985,-393.1551,-225.94922,-268.2251,-277.34732,-301.73337,-312.66693,-248.37538,-281.5173,-287.3719,-409.66458,-303.7645
21,-204.81534,-297.46442,-325.57132,-315.95377,-365.93103,-232.3394,-287.4513,-320.1353,-302.4842,-319.89835,-239.92703,-228.75655,-333.83002,-369.4186,-376.52103
22,-221.88516,-311.8598,-345.18173,-342.9716,-350.84885,-233.09021,-258.78992,-277.8854,-329.9559,-308.90582,-207.5853,-258.6981,-231.53328,-335.87744,-319.76358
23,-232.4743,-277.78287,-255.06569,-358.44745,-322.7604,-245.37543,-272.5543,-337.78012,-414.88202,-301.96616,-273.47098,-254.59445,-369.81262,-353.4425,-331.31308
24,-219.05139,-293.52475,-351.0538,-326.38046,-355.24362,-223.84235,-259.5455,-322.25522,-329.52032,-336.13882,-245.50044,-282.30603,-317.3188,-362.49353,-303.02103
25,-204.98613,-276.69852,-276.53885,-308.8325,-387.69412,-262.0843,-259.3342,-356.4953,-314.99014,-313.50345,-220.75247,-246.39319,-312.65863,-337.2322,-364.26846
26,-263.6956,-262.5338,-308.06992,-321.07834,-307.45105,-192.88713,-298.04092,-281.05078,-361.12207,-323.7831,-266.1938,-259.86533,-286.83505,-314.03055,-349.93134
27,-232.81993,-307.34766,-280.51788,-308.8665,-309.43875,-219.93636,-239.31018,-287.8029,-309.99982,-351.40784,-226.71378,-290.84488,-302.7553,-295.40228,-284.57748
28,-205.84167,-274.92032,-276.22073,-311.93262,-312.27267,-206.5067,-284.2745,-318.9062,-292.16016,-276.13855,-234.41925,-303.93674,-290.96442,-314.92224,-324.5074
29,-195.68126,-253.06973,-297.8681,-358.64243,-290.20227,-219.98514,-258.24188,-278.83588,-304.90854,-261.78717,-221.03401,-268.94617,-347.52704,-322.677,-327.85516
30,-200.3497,-275.6783,-287.66693,-295.21713,-348.4843,-183.4727,-288.13208,-282.63956,-317.61206,-315.99033,-202.9697,-273.5036,-296.8161,-310.3639,-336.85318
31,-219.06174,-256.20642,-280.1734,-298.9902,-330.41907,-200.94484,-222.25288,-287.77005,-359.31985,-313.3412,-213.40141,-258.80664,-263.5435,-345.12393,-331.1976
32,-212.81921,-239.86015,-232.16576,-296.1454,-335.44705,-202.65869,-267.9045,-294.2761,-295.28867,-305.91904,-203.03522,-252.31554,-267.08374,-299.6616,-324.6617
33,-206.34074,-226.34721,-265.04904,-273.85837,-286.85977,-194.55028,-244.10793,-294.6239,-314.06595,-306.01132,-195.46361,-249.88098,-283.05588,-299.6827,-327.36734
34,-182.70724,-299.44736,-299.2323,-303.89804,-296.35733,-190.05434,-266.28748,-327.1275,-296.63736,-273.6199,-197.44466,-265.93936,-323.85876,-343.85925,-333.5238
35,-174.55942,-272.7738,-245.9604,-284.62408,-276.73148,-152.94339,-262.67917,-330.0613,-364.02048,-347.7639,-184.76646,-256.29877,-257.00113,-346.34448,-280.67175
36,-184.1002,-222.89413,-322.20947,-308.4613,-313.13443,-206.96817,-237.46623,-315.80072,-343.1887,-294.46466,-190.62923,-269.21158,-291.1979,-301.80756,-315.70285
37,-195.14949,-245.07643,-321.84586,-344.83936,-339.2021,-173.93932,-221.68419,-277.54657,-342.1779,-294.92157,-167.29012,-271.29257,-339.49228,-283.35773,-354.34796
38,-193.07486,-268.1999,-296.22256,-263.83597,-312.67917,-195.66003,-216.09276,-343.9436,-336.22577,-286.50214,-175.98013,-246.34708,-299.92136,-292.58163,-329.09586
39,-190.85576,-202.81879,-340.86548,-329.57184,-288.35544,-180.70787,-204.41603,-268.8858,-325.62738,-276.00024,-171.06757,-226.8467,-324.04617,-296.67532,-282.58716
40,-166.93558,-206.38206,-281.92044,-319.0308,-322.8423,-192.78697,-238.1137,-257.90167,-259.83072,-280.58264,-199.28201,-217.3393,-334.1212,-249.19543,-274.15375
41,-171.47691,-256.00735,-262.07343,-327.76144,-370.9058,-193.25153,-247.47076,-282.55722,-278.32468,-308.25613,-182.70526,-222.53183,-266.69095,-294.92126,-303.01306
42,-189.95517,-213.8301,-298.38205,-301.11526,-330.138,-176.44017,-252.71802,-252.16202,-245.70622,-290.00778,-198.95572,-255.23875,-304.2502,-291.1189,-316.34113
43,-149.02681,-238.13985,-216.92424,-277.86603,-312.2872,-175.81711,-251.34743,-301.15408,-260.17313,-289.73376,-177.94344,-194.34482,-298.86456,-305.5588,-295.2804
44,-184.74582,-287.9666,-249.73616,-334.06567,-281.12967,-174.35446,-206.02554,-289.24533,-280.9802,-300.6654,-160.76274,-179.80502,-310.35944,-258.98505,-268.55444
45,-189.77345,-223.34952,-307.5883,-267.42407,-310.07513,-165.66534,-222.18674,-225.40506,-327.2459,-334.82925,-167.91185,-212.04555,-306.362,-278.53268,-352.41284
46,-192.10788,-197.10194,-255.56967,-337.99112,-348.59573,-177.57753,-284.05273,-303.07178,-239.89246,-280.28635,-149.83292,-216.87811,-241.74457,-303.12167,-329.40576
47,-170.25896,-214.6952,-290.10666,-296.1514,-271.70874,-158.13667,-203.4745,-295.85492,-317.942,-291.51236,-174.20006,-219.997,-290.07217,-265.41678,-366.49762
48,-149.05328,-215.24034,-258.80014,-309.98267,-255.2688,-177.56575,-233.40753,-258.0901,-318.65167,-309.41962,-137.3816,-189.33937,-253.80737,-369.63687,-260.08963
49,-158.07487,-235.65654,-229.52776,-276.51993,-278.38904,-139.09802,-185.97043,-232.34859,-273.59772,-294.02676,-148.7234,-197.16595,-269.92606,-235.51236,-314.31064
50,-163.0205,-243.19461,-251.48691,-301.38147,-297.45227,-174.79413,-206.13208,-337.5135,-254.7464,-312.23685,-175.07906,-173.62106,-241.02602,-296.1676,-296.26013
51,-181.7402,-185.14487,-241.34169,-270.51547,-269.86996,-158.98943,-218.94916,-263.60947,-307.9011,-288.034,-163.1323,-193.11647,-243.37883,-294.76828,-292.54367
52,-156.9885,-216.42014,-273.42105,-305.73312,-262.3651,-182.8137,-233.07346,-302.06235,-308.0118,-293.88892,-173.28493,-193.3233,-249.84923,-284.69092,-307.60422
53,-171.79779,-212.32664,-298.27127,-266.58786,-357.67557,-152.82536,-225.03705,-213.56549,-249.05914,-278.05823,-170.24905,-186.13321,-255.62737,-388.25714,-261.98148
54,-163.67163,-216.0531,-290.33163,-267.3377,-252.94257,-161.37892,-208.00775,-278.12012,-258.30157,-309.83118,-143.40186,-175.74986,-292.83493,-298.14496,-272.61325
55,-173.73637,-197.01393,-238.42201,-303.65875,-334.89694,-150.78569,-256.20425,-248.2095,-246.75961,-271.49573,-156.71004,-192.39322,-231.05235,-344.82748,-337.9988
56,-137.04614,-201.7734,-232.10901,-238.99979,-290.72598,-140.63019,-216.46461,-259.88837,-277.78452,-249.16129,-173.42302,-234.50516,-228.22607,-332.21762,-270.1284
57,-158.51009,-183.78445,-307.28256,-267.60623,-297.7476,-120.24153,-265.1778,-252.40448,-242.96457,-306.00925,-148.80643,-205.27008,-328.8488,-244.24057,-323.78543
58,-152.98659,-206.61702,-253.66606,-228.5001,-261.23065,-167.81184,-206.65875,-226.73233,-356.39108,-248.95949,-163.31099,-156.01854,-246.79341,-300.875,-304.98663
59,-137.48439,-162.42087,-238.81944,-315.5,-295.63797,-150.744,-210.78534,-219.43889,-243.25597,-248.4864,-127.32102,-206.7986,-224.94086,-256.69003,-292.21042
60,-162.79355,-208.25967,-234.63615,-250.7677,-252.91841,-158.43704,-174.99557,-268.39114,-274.12225,-280.1435,-154.47841,-162.61275,-201.60992,-270.21548,-272.774
61,-154.38287,-217.75905,-248.92345,-244.0442,-277.1076,-163.98962,-183.16107,-267.35162,-287.58865,-357.49597,-156.73543,-225.23584,-276.44525,-329.11258,-236.95303
62,-157.57077,-178.52686,-287.2342,-305.33334,-308.891,-128.76591,-159.45006,-253.4547,-270.51703,-275.4982,-166.81767,-230.8317,-242.86407,-259.1987,-319.05048
63,-134.56099,-181.88313,-232.66008,-268.02878,-238.69325,-147.10374,-232.13289,-255.03464,-303.32416,-283.63165,-131.27113,-198.48285,-245.1331,-254.8914,-251.83778
64,-166.14609,-208.97966,-223.44899,-269.9032,-284.97073,-131.60023,-198.98775,-209.90382,-240.30809,-269.90216,-112.76173,-180.72511,-181.68205,-269.16504,-278.47968
65,-154.0619,-234.62732,-214.49414,-261.41653,-323.60638,-138.53647,-175.01912,-238.60086,-250.36034,-240.84613,-160.2637,-207.93433,-247.36328,-250.49539,-267.57928
