,Reacher-v60_seed_0,Reacher-v60_seed_1,Reacher-v60_seed_2
0,-139.69131,-125.47402,-188.64223
1,-151.89867,-125.201004,-227.16458
2,-111.839615,-106.3665,-130.1379
3,-171.41931,-102.878944,-126.22662
4,-114.260864,-206.7509,-156.4897
5,-106.701485,-236.65443,-117.34284
6,-187.62994,-101.75505,-270.39307
7,-89.48971,-115.478676,-126.22516
8,-107.72318,-95.45359,-175.73232
9,-134.91148,-93.166466,-144.24196
10,-202.25002,-153.95222,-162.8913
11,-153.54213,-190.01714,-128.20755
12,-151.75798,-118.78534,-196.02443
13,-178.01468,-97.36004,-171.93411
14,-205.17198,-184.25714,-122.711784
15,-158.80296,-188.58698,-114.06165
16,-183.18234,-106.17816,-100.96675
17,-108.796234,-239.30502,-147.27069
18,-151.08463,-126.38616,-110.31476
19,-164.85281,-154.51227,-128.80043
20,-109.19556,-118.15251,-113.55078
21,-151.11903,-131.49602,-245.26599
22,-133.89523,-159.25526,-169.68062
23,-99.49101,-158.64412,-152.05963
24,-137.67813,-97.096596,-123.56013
25,-159.73885,-131.95126,-158.86948
26,-153.61911,-101.60455,-95.25771
27,-148.80444,-198.35841,-171.42075
28,-87.15707,-179.50331,-93.09804
29,-153.1247,-119.56025,-159.42403
30,-210.86078,-134.05568,-153.47684
31,-130.46901,-114.775795,-141.99771
32,-167.45389,-136.3033,-104.840164
33,-117.84608,-98.68753,-127.726906
34,-174.73045,-122.93386,-89.22
35,-164.4083,-122.5024,-191.76776
36,-154.38393,-112.218155,-116.47138
37,-118.894875,-107.952194,-188.68925
38,-145.08348,-118.35267,-148.53175
39,-124.05635,-181.7253,-215.34265
40,-124.656265,-147.70226,-157.75484
41,-140.90314,-94.52291,-135.71832
42,-214.9527,-131.23526,-174.12537
43,-206.49443,-150.95476,-99.298615
44,-110.310455,-173.71036,-138.07681
45,-109.61826,-171.77643,-189.46838
46,-169.34164,-148.09851,-109.417885
47,-127.709236,-132.51122,-130.88354
48,-119.21991,-168.40057,-69.561905
49,-147.75473,-170.33948,-149.6673
50,-146.04265,-189.58786,-142.33588
51,-129.40709,-108.81859,-210.8635
52,-231.25513,-94.48026,-111.179436
53,-105.18315,-124.89653,-216.18257
54,-176.00671,-106.88619,-204.31346
55,-140.20749,-81.734055,-162.70757
56,-126.34645,-122.65033,-163.87723
57,-92.27653,-159.0157,-122.58856
58,-118.99466,-127.46083,-182.77809
59,-113.232895,-81.2925,-108.76839
60,-130.1259,-109.28104,-184.51537
61,-176.00095,-162.32153,-126.3243
62,-136.82707,-110.18321,-128.22438
63,-109.11903,-179.11069,-129.57611
64,-240.6048,-135.95378,-173.00581
65,-138.95267,-167.67314,-133.50824
66,-184.77261,-121.006676,-110.63274
67,-115.621254,-139.58711,-81.44811
68,-117.93395,-111.44252,-158.0792
69,-135.41533,-178.94112,-108.78976
70,-163.13155,-142.12146,-116.69764
71,-104.28259,-145.76418,-157.51823
72,-103.35035,-156.11208,-123.35861
73,-161.42284,-137.39786,-240.59062
74,-139.38281,-107.06199,-136.28214
