,Reacher-v10_seed_0,Reacher-v20_seed_0,Reacher-v30_seed_0,Reacher-v40_seed_0,Reacher-v50_seed_0,Reacher-v10_seed_1,Reacher-v20_seed_1,Reacher-v30_seed_1,Reacher-v40_seed_1,Reacher-v50_seed_1,Reacher-v10_seed_2,Reacher-v20_seed_2,Reacher-v30_seed_2,Reacher-v40_seed_2,Reacher-v50_seed_2
0,-343.43353,-421.97827,-426.55994,-421.36914,-379.89706,-326.58246,-357.48575,-465.70743,-396.40564,-400.0824,-364.94415,-380.8354,-417.17358,-419.35144,-399.69672
1,-314.91302,-413.057,-388.4672,-426.1675,-385.70682,-328.66483,-349.2041,-397.38342,-406.969,-423.6267,-288.40933,-318.84006,-429.9942,-438.1856,-381.26727
2,-320.8825,-312.74594,-414.4317,-384.9167,-353.50113,-333.11407,-371.7211,-457.8476,-425.4926,-359.54407,-364.0118,-375.83322,-375.28873,-426.7899,-393.46103
3,-348.57864,-346.05634,-348.51926,-420.64734,-356.6657,-299.08597,-379.80023,-386.99622,-378.4361,-386.46893,-337.33832,-342.09836,-452.7895,-387.39682,-421.16718
4,-302.4258,-304.35992,-417.75455,-437.96448,-408.51645,-236.40613,-394.5893,-378.9596,-394.1648,-389.06903,-307.16187,-358.19238,-360.08856,-353.75555,-415.15305
5,-314.75284,-324.49976,-399.23596,-375.29266,-364.43213,-349.84607,-310.41214,-385.92535,-393.51685,-410.08112,-312.76404,-363.47534,-362.70706,-427.1497,-342.54276
6,-281.6776,-371.73795,-389.0046,-367.81204,-381.99823,-292.72064,-341.82166,-407.48322,-384.67703,-352.18616,-331.78723,-350.57523,-350.89398,-350.27954,-357.3276
7,-267.0709,-323.74356,-346.70056,-357.24692,-383.09668,-344.869,-399.0384,-434.44098,-404.39157,-434.07678,-312.56714,-320.797,-355.41888,-358.67212,-338.87814
8,-350.72305,-342.81818,-375.80835,-372.58694,-322.2942,-317.51102,-334.2032,-355.2449,-335.43933,-355.9606,-293.94513,-325.05756,-359.06265,-400.39355,-362.0928
9,-302.22366,-308.59808,-412.2777,-391.51352,-348.21704,-302.66672,-322.34464,-341.19855,-437.15326,-343.23608,-289.40762,-307.9085,-341.81897,-360.6242,-392.05267
10,-315.94675,-315.17523,-363.4519,-390.4565,-440.61362,-282.2418,-351.55957,-343.98987,-367.17978,-363.43082,-304.9788,-346.1657,-352.01126,-366.0262,-390.9593
11,-252.14952,-291.38968,-334.2988,-405.26566,-371.71954,-257.55182,-354.4282,-341.89346,-328.1425,-337.80145,-240.19246,-321.32355,-336.38336,-333.3138,-401.68643
12,-293.58472,-360.89615,-377.2256,-401.2904,-393.0454,-264.5886,-316.3662,-290.88135,-364.80826,-383.3694,-280.59158,-353.9272,-330.8539,-341.42673,-384.845
13,-285.53976,-306.76782,-331.53833,-422.55206,-369.99493,-273.83032,-268.9287,-353.9496,-380.85193,-343.41797,-231.3527,-272.02756,-417.98364,-342.97824,-356.56793
14,-257.6338,-313.7836,-318.41833,-336.64417,-343.9947,-311.85077,-308.60327,-303.9319,-300.1358,-350.09,-258.42535,-350.05328,-373.3276,-391.4452,-357.78894
15,-262.60605,-305.77893,-346.29553,-350.00748,-338.30145,-275.6176,-285.7676,-335.97913,-330.1522,-356.67282,-230.8396,-334.1883,-394.6493,-360.6956,-418.50616
16,-276.91925,-261.47284,-345.40375,-395.92755,-349.42645,-254.18,-240.5953,-348.7608,-370.21008,-311.55704,-267.8645,-310.559,-414.04446,-351.0986,-406.4874
17,-260.24445,-332.77042,-386.1792,-344.9849,-345.2705,-256.3817,-258.08453,-303.56464,-347.17142,-353.47607,-267.5154,-297.0053,-317.7707,-353.96695,-361.22296
18,-256.37186,-327.82568,-345.65253,-374.0967,-328.064,-232.09625,-266.67227,-290.204,-324.70554,-320.00787,-232.65349,-283.37277,-369.94016,-304.57138,-341.4418
19,-263.24496,-363.23074,-297.45773,-307.19403,-366.07385,-258.26138,-264.5167,-347.73392,-312.75592,-389.5665,-284.86374,-309.14975,-337.5164,-307.23294,-352.31467
20,-240.61554,-297.61972,-293.70758,-326.0342,-361.19635,-234.9454,-287.84915,-305.2702,-322.03156,-320.443,-277.355,-270.21426,-300.1905,-418.40414,-343.6465
21,-244.07697,-299.35718,-306.7401,-318.9099,-370.77252,-259.97702,-271.4725,-297.9916,-348.35297,-316.17822,-225.1672,-266.136,-347.82568,-381.00592,-396.8231
22,-238.82545,-321.24777,-390.2425,-346.06042,-352.55157,-245.2308,-272.45343,-298.43124,-332.31244,-286.0231,-216.92188,-249.63892,-300.43225,-339.51324,-304.6836
23,-242.8289,-267.68427,-294.97034,-369.9607,-337.6166,-215.03677,-229.35097,-386.83084,-374.99304,-299.89484,-240.18356,-292.16315,-359.71042,-382.95587,-352.8532
24,-233.69324,-275.94122,-326.38525,-287.25912,-372.68652,-232.24075,-226.28253,-278.8409,-317.12155,-341.67056,-232.41292,-305.6699,-316.0804,-348.6712,-336.13962
25,-247.08342,-288.63992,-284.25436,-384.22995,-368.23755,-209.64026,-252.76187,-344.37692,-297.8027,-345.7424,-263.20718,-273.7094,-324.65863,-337.19797,-364.02588
26,-209.76598,-290.81036,-341.16135,-339.07745,-331.6592,-187.33318,-279.3523,-332.4576,-367.65485,-298.78778,-250.04492,-241.64272,-295.18707,-311.7844,-328.37146
27,-237.95119,-243.99377,-287.4763,-331.714,-317.63928,-219.24057,-235.7907,-311.45358,-299.01422,-346.26157,-236.7258,-292.90323,-316.2835,-321.06644,-283.11243
28,-262.06207,-242.73363,-287.38647,-325.24817,-284.40668,-202.30817,-246.75275,-309.91708,-325.0252,-306.18582,-197.93124,-272.03723,-307.13986,-316.27527,-348.7994
29,-234.08725,-268.25174,-332.56012,-356.69644,-318.5109,-192.9485,-272.66257,-296.8506,-334.0561,-299.61493,-220.24405,-232.17102,-312.1811,-319.12378,-327.24796
30,-208.3461,-268.619,-323.1111,-342.20456,-349.77686,-222.94507,-224.20526,-305.1797,-260.39227,-327.40714,-160.16132,-290.78644,-309.35007,-332.73816,-321.6712
31,-192.18076,-268.9778,-265.52512,-323.82785,-342.09512,-188.28206,-240.48773,-337.50192,-319.119,-340.9413,-231.738,-223.97597,-249.76056,-289.8828,-409.42834
32,-227.18907,-220.77962,-256.46744,-284.46506,-314.6293,-172.4472,-252.89966,-296.23755,-285.9225,-309.1027,-237.0596,-262.78473,-298.02155,-300.99362,-309.68753
33,-182.2915,-249.04495,-299.38754,-283.3298,-286.23016,-193.34782,-225.45508,-297.9733,-299.76993,-340.0102,-190.4834,-276.4955,-275.43665,-307.96686,-282.13147
34,-201.33719,-253.08989,-293.5894,-299.4979,-289.28848,-193.62924,-249.22983,-272.6838,-327.36066,-321.15045,-194.46454,-260.97653,-327.10132,-309.01318,-283.14532
35,-188.5304,-243.42235,-273.99057,-299.48065,-285.28833,-193.92712,-281.94345,-318.80618,-305.43,-320.81213,-201.00786,-228.50566,-256.39398,-305.92288,-289.47318
36,-195.76042,-235.49594,-297.12238,-300.2187,-299.5201,-188.32468,-271.88147,-343.60864,-290.47806,-339.11792,-205.25371,-220.17497,-297.7422,-319.03754,-354.53055
37,-183.58492,-217.32141,-313.19037,-371.77954,-299.71042,-175.00784,-251.35883,-271.92685,-322.47946,-291.03842,-206.5991,-239.42888,-286.14804,-296.22476,-368.91788
38,-181.48549,-278.1228,-256.27023,-276.95496,-305.33066,-195.55424,-236.79253,-293.59247,-337.0264,-296.38416,-184.48528,-245.13649,-287.77478,-261.91608,-291.437
