,success_rate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.4
17,0.1
18,0.1
19,0.1
20,0.3
21,0.0
22,0.1
23,0.1
24,0.0
25,0.1
26,0.1
27,0.2
28,0.3
29,0.2
30,0.0
31,0.1
32,0.0
33,0.0
34,0.5
35,0.4
36,0.2
37,0.2
38,0.2
39,0.2
40,0.2
41,0.1
42,0.7
43,0.7
44,0.8
45,0.3
46,0.3
47,0.3
48,0.7
49,0.4
50,0.6
51,0.7
52,0.6
53,0.7
54,0.7
55,0.8
56,0.8
57,0.5
58,1.0
59,0.7
60,0.7
61,0.5
62,0.7
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,0.9
69,1.0
70,1.0
71,0.9
72,1.0
73,1.0
74,1.0
75,1.0
76,0.9
77,1.0
78,0.9
79,0.8
80,0.7
81,0.9
82,1.0
83,0.9
84,1.0
85,0.9
86,0.7
87,1.0
88,1.0
89,0.8
90,0.5
91,0.6
92,0.8
93,0.8
94,0.2
95,0.8
96,0.8
97,0.7
98,1.0
99,0.8
100,0.9
101,0.8
102,0.5
103,0.8
104,1.0
105,0.8
106,0.7
107,0.9
108,1.0
109,0.9
110,0.9
111,0.6
112,0.7
113,0.6
114,0.9
115,0.6
116,0.8
117,0.8
118,0.9
119,0.8
120,1.0
121,1.0
122,1.0
123,0.9
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,0.9
133,0.8
134,0.9
135,0.9
136,0.8
137,1.0
138,0.7
139,1.0
140,0.9
141,0.6
142,0.9
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,0.8
153,0.9
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,0.6
161,0.4
162,0.4
163,0.8
164,0.9
165,0.8
166,0.9
167,1.0
168,0.9
169,0.9
170,0.8
171,0.8
172,0.7
173,0.6
174,0.5
175,0.9
176,0.6
177,0.9
178,1.0
179,1.0
180,1.0
181,1.0
182,0.8
183,1.0
184,1.0
185,0.8
186,1.0
187,1.0
188,1.0
189,0.7
190,1.0
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,1.0
207,1.0
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,1.0
217,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,1.0
239,1.0
240,1.0
241,1.0
242,1.0
243,1.0
244,1.0
245,1.0
246,1.0
247,1.0
248,1.0
249,1.0
