,epochs,success_rate
0,1,0.0
1,2,0.0
2,3,0.0
3,4,0.0
4,5,0.0
5,6,0.0
6,7,0.0
7,8,0.0
8,9,0.0
9,10,0.0
10,11,0.0
11,12,0.0
12,13,0.0
13,14,0.0
14,15,0.0
15,16,0.0
16,17,0.0
17,18,0.1
18,19,0.1
19,20,0.1
20,21,0.3
21,22,0.2
22,23,0.5
23,24,0.2
24,25,0.3
25,26,0.3
26,27,0.5
27,28,0.2
28,29,0.5
29,30,0.3
30,31,0.2
31,32,0.4
32,33,0.4
33,34,0.5
34,35,0.6
35,36,0.7
36,37,0.3
37,38,0.4
38,39,0.5
39,40,0.4
40,41,0.5
41,42,0.6
42,43,0.3
43,44,0.7
44,45,0.6
45,46,0.5
46,47,0.6
47,48,0.7
48,49,0.6
49,50,0.6
50,51,0.7
51,52,0.6
52,53,0.4
53,54,0.5
54,55,0.4
55,56,0.8
56,57,0.5
57,58,0.3
58,59,0.7
59,60,0.8
60,61,0.9
61,62,0.7
62,63,0.6
63,64,0.6
64,65,0.8
65,66,0.4
66,67,0.6
67,68,0.3
68,69,0.8
69,70,0.7
70,71,0.9
71,72,0.6
72,73,0.8
73,74,0.9
74,75,0.9
75,76,0.8
76,77,0.6
77,78,0.6
78,79,0.5
79,80,0.7
80,81,0.6
81,82,0.5
82,83,0.8
83,84,0.7
84,85,0.5
85,86,0.6
86,87,0.4
87,88,0.5
88,89,0.8
89,90,0.3
90,91,0.5
91,92,0.9
92,93,0.7
93,94,0.8
94,95,0.5
95,96,0.8
96,97,0.6
97,98,0.6
98,99,0.8
99,100,0.6
100,101,0.4
101,102,0.4
102,103,0.6
103,104,0.3
104,105,0.5
105,106,0.2
106,107,0.4
107,108,0.6
108,109,0.5
109,110,0.4
110,111,0.7
111,112,0.8
112,113,0.8
113,114,0.8
114,115,0.7
115,116,0.5
116,117,0.5
117,118,0.5
118,119,0.1
119,120,0.7
120,121,0.4
121,122,0.8
122,123,0.6
123,124,0.9
124,125,1.0
125,126,0.8
126,127,0.7
127,128,0.8
128,129,0.8
129,130,0.6
130,131,0.7
131,132,0.9
132,133,0.8
133,134,0.8
134,135,0.5
135,136,0.6
136,137,0.5
137,138,0.4
138,139,0.7
139,140,0.8
140,141,0.7
141,142,0.5
142,143,0.8
143,144,0.5
144,145,0.8
145,146,0.5
146,147,0.5
147,148,0.7
148,149,0.7
149,150,0.7
150,151,0.6
151,152,0.7
152,153,0.7
153,154,0.5
154,155,0.6
155,156,0.5
156,157,1.0
157,158,0.3
158,159,0.9
159,160,0.7
160,161,0.8
161,162,0.7
162,163,0.9
163,164,0.6
164,165,0.7
165,166,0.8
166,167,0.6
167,168,0.4
168,169,0.7
169,170,0.6
170,171,0.6
171,172,0.4
172,173,0.7
173,174,0.9
174,175,0.8
175,176,0.5
176,177,0.6
177,178,0.6
178,179,0.6
179,180,0.9
180,181,0.9
181,182,0.6
182,183,0.5
183,184,0.5
184,185,1.0
185,186,0.9
186,187,0.4
187,188,0.7
188,189,0.7
189,190,0.7
190,191,0.7
191,192,0.1
192,193,0.8
193,194,0.6
194,195,1.0
195,196,0.6
196,197,0.7
197,198,0.6
198,199,0.6
199,200,0.8
200,201,0.6
201,202,0.5
202,203,0.7
203,204,0.5
204,205,0.8
205,206,0.8
206,207,0.6
207,208,0.8
208,209,0.8
209,210,0.6
210,211,0.8
211,212,0.5
212,213,0.4
213,214,0.5
214,215,0.5
215,216,0.7
216,217,0.9
217,218,0.5
218,219,0.4
219,220,0.6
220,221,0.3
221,222,0.6
222,223,0.9
223,224,0.5
224,225,0.6
225,226,0.5
226,227,0.5
227,228,0.2
228,229,0.5
229,230,0.6
230,231,0.4
231,232,0.3
232,233,0.2
233,234,0.3
234,235,0.4
235,236,0.5
236,237,0.6
237,238,0.7
238,239,0.5
239,240,0.4
240,241,0.5
241,242,0.1
242,243,0.4
243,244,0.4
244,245,0.5
245,246,0.5
246,247,0.5
247,248,0.6
248,249,0.6
249,250,0.4
