,Manipulator_501x,Manipulator_502x,Manipulator_503x,Manipulator_504x,Manipulator_505x,Manipulator_506x,Manipulator_507x,Manipulator_508x,Manipulator_509x,Manipulator_510x,Manipulator_601x,Manipulator_602x,Manipulator_603x,Manipulator_604x,Manipulator_605x,Manipulator_606x,Manipulator_607x,Manipulator_608x,Manipulator_609x,Manipulator_610x,Manipulator_701x,Manipulator_702x,Manipulator_703x,Manipulator_704x,Manipulator_705x,Manipulator_706x,Manipulator_707x,Manipulator_708x,Manipulator_709x,Manipulator_710x
0,0.8,0.3,0.2,0.4,0.6,0.6,0.9,0.2,0.8,0.8,0.9,0.6,0.6,0.1,0.7,0.0,0.4,0.6,0.8,0.0,0.2,0.3,0.1,0.8,0.5,0.4,0.9,0.7,0.8,0.5
1,0.8,0.2,0.2,0.5,0.6,0.4,0.6,0.3,0.8,0.6,0.9,0.3,0.5,0.3,0.8,0.0,0.2,0.5,0.8,0.2,0.7,0.5,0.2,0.9,0.3,0.4,0.4,0.5,0.5,0.5
2,0.9,0.4,0.2,0.4,0.5,0.4,0.7,0.3,0.9,0.7,0.9,0.4,0.5,0.4,0.6,0.0,0.2,0.3,0.7,0.2,0.8,0.6,0.0,0.7,0.4,0.5,0.6,0.5,0.4,0.6
3,1.0,0.4,0.4,0.7,0.6,0.5,0.6,0.2,0.6,0.8,1.0,0.7,0.3,0.4,0.6,0.2,0.2,0.4,0.6,0.4,0.4,0.8,0.0,1.0,0.4,0.8,0.7,0.7,0.6,0.5
4,1.0,0.2,0.4,0.5,0.8,0.7,0.4,0.3,1.0,0.7,0.9,0.6,0.3,0.5,0.7,0.0,0.2,0.6,0.5,0.3,0.6,0.4,0.0,0.7,0.0,0.3,0.7,1.0,0.4,0.3
5,1.0,0.4,0.3,0.4,0.5,0.7,0.4,0.2,0.9,0.4,1.0,0.3,0.2,0.5,0.7,0.0,0.1,0.2,0.5,0.1,0.5,0.4,0.1,0.7,0.6,0.5,0.6,0.6,0.8,0.7
6,0.9,0.3,0.4,0.2,0.9,0.4,0.8,0.0,0.7,0.6,0.6,0.7,0.3,0.5,0.7,0.1,0.5,0.4,0.4,0.2,0.5,0.5,0.1,0.6,0.0,0.4,0.6,0.7,0.9,0.4
7,1.0,0.1,0.2,0.2,0.6,0.6,0.7,0.0,0.9,0.9,0.8,0.7,0.6,0.7,0.7,0.0,0.5,0.5,0.5,0.3,0.7,0.5,0.1,1.0,0.1,0.6,0.9,0.6,0.5,0.7
8,0.8,0.2,0.3,0.2,0.5,0.8,0.7,0.4,0.8,0.4,0.8,0.5,0.2,0.3,0.7,0.0,0.2,0.5,0.7,0.2,0.6,0.5,0.1,0.7,0.3,0.3,0.6,0.4,0.5,0.2
9,1.0,0.4,0.1,0.5,0.6,0.5,0.6,0.2,0.9,0.7,0.8,0.6,0.3,0.6,0.6,0.0,0.1,0.7,0.9,0.0,0.5,0.6,0.0,0.7,0.4,0.5,0.7,0.6,0.6,0.4
10,0.5,0.7,0.2,0.4,0.1,0.2,0.3,0.1,0.7,0.6,0.7,0.5,0.7,0.7,0.7,0.6,0.3,0.4,0.7,0.2,0.2,0.7,0.7,0.8,0.3,0.8,0.5,0.5,0.5,0.3
11,0.8,0.1,0.1,0.5,0.7,0.4,0.4,0.2,0.8,0.4,0.7,0.6,0.5,0.3,0.6,0.2,0.3,0.5,0.7,0.1,0.6,0.3,0.4,0.7,0.6,0.7,0.5,0.6,0.6,0.3
